Num_Pieces,Leftmost_Index,Rightmost_Index
2,0.0,55.0
3,56.0,415.0
4,416.0,1990.0
5,1991.0,8633.0
6,8634.0,17051.0
7,17052.0,30534.0
8,30535.0,45131.0
9,45132.0,65626.0
10,65627.0,87027.0
11,87028.0,113568.0
12,113569.0,140946.0
13,140947.0,171975.0
14,171976.0,207848.0
15,207849.0,243608.0
16,243609.0,287484.0
17,287485.0,324603.0
18,324604.0,374667.0
19,374668.0,412462.0
20,412463.0,467821.0
21,467822.0,504600.0
22,504601.0,567667.0
23,567668.0,602661.0
24,602662.0,674755.0
25,674756.0,706400.0
26,706401.0,788737.0
27,788738.0,815167.0
28,815168.0,904070.0
29,904071.0,923117.0
30,923118.0,1000621.0
31,1000622.0,1009966.0
32,1009967.0,1048574.0
33,,
34,,
35,,
36,,
